# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416444397;6554816;257969608;97.52;158160;54388100;207962764;76.20
axle;60;1416444457;14594048;249930376;94.48;158260;46448044;207886896;76.17
axle;60;1416444517;13316892;251207532;94.97;158312;48082244;207479284;76.02
axle;60;1416444577;10309156;254215268;96.10;158372;49474912;209095084;76.62
axle;60;1416444637;12946836;251577588;95.11;158436;48452664;207480228;76.03
axle;60;1416444697;12378780;252145644;95.32;158512;48880380;207628872;76.08
axle;60;1416444757;7685696;256838728;97.09;158580;53715136;207478976;76.02
axle;60;1416444817;6618012;257906412;97.50;158628;54762532;207513460;76.04
axle;60;1416444877;6639356;257885068;97.49;158672;54764020;207478832;76.02
axle;60;1416444937;4219884;260304540;98.40;158708;56798208;207870168;76.17
axle;60;1416444997;4131032;260393392;98.44;158796;56880208;207876428;76.17
axle;60;1416445057;4525660;259998764;98.29;158848;56881176;207477632;76.02
