Linux 3.0.101-0.15-default (axle) 	11/20/2014 	_x86_64_

01:45:37 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:46:37 AM     all      6.25      0.00      6.55      0.00      0.00     87.20
01:47:37 AM     all      7.03      0.00      5.98      0.00      0.00     86.98
01:48:37 AM     all      4.56      0.00      1.84      0.00      0.00     93.59
01:49:37 AM     all      5.36      0.00      0.97      0.00      0.00     93.67
01:50:37 AM     all      5.14      0.00      1.21      0.00      0.00     93.65
01:51:37 AM     all      5.56      0.00      0.77      0.00      0.00     93.67
01:52:37 AM     all      4.27      0.00      2.08      0.00      0.00     93.65
01:53:37 AM     all      4.33      0.00      2.01      0.00      0.00     93.66
01:54:37 AM     all      5.95      0.00      0.37      0.00      0.00     93.68
01:55:37 AM     all      5.46      0.00      0.84      0.00      0.00     93.69
01:56:37 AM     all      4.85      0.00      1.54      0.00      0.00     93.61
01:57:37 AM     all      5.39      0.00      0.91      0.00      0.00     93.70
