# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1416444397;0.00;141.93;227577.25;0.00;196134.03;0.00;0.00;0.00;0.00
axle;60;1416444457;0.00;354.93;218010.83;0.00;162840.41;0.00;0.00;0.00;0.00
axle;60;1416444517;0.00;193.83;47078.55;0.00;2860.78;0.00;0.00;0.00;0.00
axle;60;1416444577;0.00;35.21;47646.28;0.00;521.09;0.00;0.00;0.00;0.00
axle;60;1416444637;0.00;39.53;49309.65;0.00;11680.25;0.00;0.00;0.00;0.00
axle;60;1416444697;0.07;43.06;43395.25;0.00;3074.55;0.00;0.00;0.00;0.00
axle;60;1416444757;0.00;35.55;60580.76;0.00;4772.91;0.00;0.00;0.00;0.00
axle;60;1416444817;0.00;30.14;52691.00;0.00;533.96;0.00;0.00;0.00;0.00
axle;60;1416444877;0.00;40.79;22445.79;0.00;327.11;0.00;0.00;0.00;0.00
axle;60;1416444937;0.00;26.60;34865.48;0.00;230.71;0.00;0.00;0.00;0.00
axle;60;1416444997;0.00;42.73;90220.85;0.00;2708.77;0.00;0.00;0.00;0.00
axle;60;1416445057;0.00;31.40;56853.43;0.00;4279.48;0.00;0.00;0.00;0.00
