# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416443873;22061136;242463288;91.66;157644;39332028;207497392;76.03
axle;60;1416443933;20048744;244475680;92.42;157680;41345036;207491992;76.03
axle;60;1416443993;20046380;244478044;92.42;157708;41346188;207492184;76.03
axle;60;1416444053;20041672;244482752;92.42;157720;41348292;207492184;76.03
axle;60;1416444113;20039064;244485360;92.42;157748;41349788;207491992;76.03
axle;60;1416444173;16754084;247770340;93.67;157784;41351820;210942108;77.29
axle;60;1416444233;19196588;245327836;92.74;157820;41354024;208381400;76.36
axle;60;1416444293;20032080;244492344;92.43;157856;41360508;207502764;76.03
