# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1416445233;-49447.47;1.33;37281.65
axle;60;1416445293;-8456.43;0.32;-947.87
axle;60;1416445353;1061.52;-126.22;-12110.72
axle;60;1416445413;10359.54;-139.56;-3617.25
axle;60;1416445473;16614.22;0.43;816.42
axle;60;1416445533;-9821.93;0.38;-384.28
axle;60;1416445593;-6587.60;0.45;1464.24
axle;60;1416445653;8067.27;0.42;-1153.57
axle;60;1416445713;5781.35;0.42;163.65
axle;60;1416445773;-7700.22;0.38;297.26
axle;60;1416445833;16499.11;0.52;1681.60
