# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416445233;3002688;261521736;98.86;159624;55515924;210194760;77.02
axle;60;1416445293;979572;263544852;99.63;159700;55289156;212447760;77.85
axle;60;1416445353;1233488;263290936;99.53;129508;52392272;215211232;78.86
axle;60;1416445413;3716876;260807548;98.59;96052;51525144;213606928;78.27
axle;60;1416445473;7698308;256826116;97.09;96156;51720792;209414652;76.73
axle;60;1416445533;5344580;259179844;97.98;96248;51628704;211915128;77.65
axle;60;1416445593;3763820;260760604;98.58;96356;51980064;213029056;78.06
axle;60;1416445653;5699964;258824460;97.85;96456;51703208;211622084;77.54
axle;60;1416445713;7086100;257438324;97.32;96556;51742444;209947664;76.93
axle;60;1416445773;5244208;259280216;98.02;96648;51813548;211748908;77.59
axle;60;1416445833;9176276;255348148;96.53;96772;52214308;207521460;76.04
