Linux 3.0.101-0.15-default (axle) 	11/20/2014 	_x86_64_

01:59:33 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:00:33 AM     all     75.15      0.00     14.78      0.02      0.00     10.05
02:01:33 AM     all     77.68      0.00     13.94      0.00      0.00      8.38
02:02:33 AM     all     79.22      0.00     14.28      0.00      0.00      6.49
02:03:33 AM     all     77.20      0.00     16.22      0.00      0.00      6.57
02:04:33 AM     all     77.25      0.00     16.21      0.00      0.00      6.54
02:05:33 AM     all     72.86      0.00     19.54      0.00      0.00      7.61
02:06:33 AM     all     77.75      0.00     15.12      0.00      0.00      7.12
02:07:33 AM     all     76.05      0.00     17.72      0.00      0.00      6.23
02:08:33 AM     all     76.83      0.00     15.08      0.00      0.00      8.09
02:09:33 AM     all     76.37      0.00     16.32      0.00      0.00      7.31
02:10:33 AM     all     57.10      0.00     16.39      0.00      0.00     26.50
