# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1416445233;0.20;378.93;836450.29;0.00;48694.11;0.00;0.00;0.00;0.00
axle;60;1416445293;0.00;407.56;775344.89;0.00;37803.24;0.00;0.00;0.00;0.00
axle;60;1416445353;9.36;439.80;672311.66;0.05;59874.95;12220.95;0.00;12218.71;99.98
axle;60;1416445413;5.74;466.88;616736.84;0.03;68080.49;4641.01;0.00;4640.85;100.00
axle;60;1416445473;0.00;336.91;662289.40;0.00;57657.24;0.00;0.00;0.00;0.00
axle;60;1416445533;0.00;399.87;696548.42;0.00;50714.66;0.00;0.00;0.00;0.00
axle;60;1416445593;0.13;442.01;681364.18;0.00;57294.23;0.00;0.00;0.00;0.00
axle;60;1416445653;0.00;388.13;816903.37;0.00;55186.57;0.00;0.00;0.00;0.00
axle;60;1416445713;0.00;400.20;607465.17;0.00;48913.70;0.00;0.00;0.00;0.00
axle;60;1416445773;0.07;416.05;678547.86;0.00;49490.52;0.00;0.00;0.00;0.00
axle;60;1416445833;4.36;566.50;793482.43;0.08;101000.55;0.00;0.00;0.00;0.00
